<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260122,1300,4819.36,4835.23,4810.53,4822.13,2202900
XAUUSD,20260122,1400,4822.10,4847.51,4820.23,4834.85,2542110
XAUUSD,20260122,1500,4834.50,4873.53,4825.36,4871.61,2984450
XAUUSD,20260122,1600,4871.65,4885.23,4867.91,4877.84,2347950
XAUUSD,20260122,1700,4877.88,4906.10,4869.19,4904.39,2534600
XAUUSD,20260122,1800,4904.35,4919.39,4901.11,4915.81,2137010
XAUUSD,20260122,1900,4915.77,4924.23,4905.76,4911.57,1942080
XAUUSD,20260122,2000,4911.60,4928.30,4911.38,4916.88,1794120
XAUUSD,20260122,2100,4916.81,4940.61,4914.48,4935.69,963960
XAUUSD,20260122,2300,4935.70,4960.44,4929.94,4958.80,1381180
XAUUSD,20260123,0000,4958.78,4965.77,4947.23,4965.02,1145060
XAUUSD,20260123,0100,4965.06,4967.07,4935.99,4953.31,2435480
XAUUSD,20260123,0200,4953.30,4962.13,4946.66,4955.40,1299950
XAUUSD,20260123,0300,4955.36,4958.91,4937.85,4951.85,1165150
XAUUSD,20260123,0400,4951.84,4958.30,4950.02,4956.10,538290
XAUUSD,20260123,0500,4956.07,4967.23,4954.40,4960.43,841850
XAUUSD,20260123,0600,4960.40,4963.03,4945.40,4953.60,1409780
XAUUSD,20260123,0700,4953.64,4959.51,4943.10,4944.32,1290660
XAUUSD,20260123,0800,4944.31,4947.56,4901.01,4913.53,1905970
XAUUSD,20260123,0900,4913.64,4921.23,4899.55,4918.41,2088200
XAUUSD,20260123,1000,4918.47,4932.27,4915.48,4929.64,1232100
XAUUSD,20260123,1100,4929.72,4929.73,4911.63,4922.63,1104860
XAUUSD,20260123,1200,4923.02,4942.30,4918.20,4939.23,1628880
